art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
137,109,137,136,169,71,151,150,215,134,103,
